l,r2,e,r1,p
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3105, name: 陈毅到机场欢迎巴基斯坦总统穆罕默德·尤阿布·汗元帅（北京市）, startDate: 1965-03-03 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 蒲甘, nodeId: 2382.0})",[:OCCURS_IN],"(:Event {eventId: 2383, name: 陈毅与周恩来访问蒲甘（蒲甘）, eventType: 访问, startDate: 1961-01-08 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 广州市, nodeId: 459.0})",[:OCCURS_IN],"(:Event {eventId: 3127, predicate: 会见, name: 陈毅参加周恩来与苏班德里约的会谈（广州市）, startDate: 1965-05-28 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 柏林市, nodeId: 2339.0})",[:OCCURS_IN],"(:Event {eventId: 2338, predicate: 参加, name: 陈毅出席德意志民主共和国成立5周年国庆典礼（柏林市）, eventType: 聚集, startDate: 1954-10-06 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 昆明市, nodeId: 1622.0})",[:OCCURS_IN],"(:Event {eventId: 3126, predicate: 会见, name: 陈毅迎接越南总理范文同（昆明市）, startDate: 1965-04-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3000, predicate: 参加, endDate: 1962-04-18 00:00:00, name: 陈毅出席政协全国委员会三届三次会议（北京市）, eventType: 会议, startDate: 1962-03-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 江西省, nodeId: 802.0})",[:OCCURS_IN],"(:Event {eventId: 894, predicate: 追悼, name: 陈毅写诗悼念萧菊英（江西省）, startDate: 1931-11-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 曲塘镇, nodeId: 2675.0})",[:OCCURS_IN],"(:Event {eventId: 2677, predicate: 参加, name: 陈毅出席苏北抗敌和平会议（曲塘镇）, eventType: 会议, startDate: 1940-10-31 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2438, predicate: 参加, endDate: 1949-09-30 00:00:00, name: 陈毅出席中国人民政治协商会议第一届全体会议（北京市）, eventType: 会议, startDate: 1949-09-21 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 海安市, nodeId: 943.0})",[:OCCURS_IN],"(:Event {eventId: 2678, predicate: 参加, name: 陈毅出席苏北临时参议会（海安市）, eventType: 会议, startDate: 1940-11-15 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 巴黎, nodeId: 397.0})",[:OCCURS_IN],"(:Event {eventId: 2369, name: 陈毅开始读《共产党宣言》（巴黎）, startDate: 1920})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2793, predicate: 参加, name: 陈毅作《掌握思想领导运用自我批评武器做好工作》的专题发言（北京市）, eventType: 会议, startDate: 1951-10-29 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2944, predicate: 会见, name: 陈毅会见中尼边界联合委员会尼泊尔首席代表帕德马・巴哈杜尔・卡特里（北京市）, startDate: 1961-01-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2917, predicate: 迎接, name: 陈毅欢迎马里政府代表团（北京市）, eventType: 访问, startDate: 1964-06-19 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 拉萨市, nodeId: 1320.0})",[:OCCURS_IN],"(:Event {eventId: 2503, name: 藏员向陈毅献哈达（拉萨市）, eventType: 聚集, startDate: 1956-04-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 龙岩市, nodeId: 731.0})",[:OCCURS_IN],"(:Event {eventId: 759, predicate: 参加, name: 陈毅按中央指示赴上海参加军事会议（龙岩市）, eventType: 会议, startDate: 1929-08-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上杭县, nodeId: 758.0})",[:OCCURS_IN],"(:Event {eventId: 820, predicate: 参加, name: 陈毅出席南阳会议（上杭县）, eventType: 会议, startDate: 1930-06-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 西安市, nodeId: 2991.0})",[:OCCURS_IN],"(:Event {eventId: 2989, name: 陈毅和周恩来陪同尼泊尔国王马亨德拉访问西安（西安市）, eventType: 访问, startDate: 1961-10-06 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3147, predicate: 会见, name: 陈毅与尼泊尔大臣会议副主席比斯塔会谈（北京市）, startDate: 1965-08-26 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上海市, nodeId: 375.0})",[:OCCURS_IN],"(:Event {eventId: 2774, predicate: 参加, name: 陈毅参加上海市委扩大会议（上海市）, eventType: 会议, startDate: 1950-09-25 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2977, predicate: 参加, name: 陈毅出席《中朝友好合作互助条约》签字仪式（北京市）, startDate: 1961-07-11 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 广州市, nodeId: 459.0})",[:OCCURS_IN],"(:Event {eventId: 2923, predicate: 迎接, name: 陈毅欢迎西哈努克亲王（广州市）, eventType: 访问, startDate: 1964-09-26 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2582, predicate: 参加, endDate: 1953-09-11 00:00:00, name: 陈毅参加政协第一届全国委员会常务委员会举行的第四十九次会议(扩大)（北京市）, eventType: 会议, startDate: 1953-09-08 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2955, predicate: 会见, name: 马里首任驻华大使科尼巴·普莱亚拜会陈毅（北京市）, startDate: 1961-05-06 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 庐山, nodeId: 3222.0})",[:OCCURS_IN],"(:Event {eventId: 3205, predicate: 参加, endDate: 1969-09-06 00:00:00, name: 陈毅出席在庐山举行的中共九届二中全会（庐山）, eventType: 会议, startDate: 1969-08-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 西柏坡, nodeId: 1001.0})",[:OCCURS_IN],"(:Event {eventId: 1564, name: 刘伯承、陈毅赴中央研究渡江作战问题（西柏坡）, eventType: 移动, startDate: 1948-12-28 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上海市, nodeId: 375.0})",[:OCCURS_IN],"(:Event {eventId: 2584, predicate: 汇报, name: 陈毅在上海市干部大会上作报告（上海市）, eventType: 会议, startDate: 1953-10-10 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 日内瓦, nodeId: 1450.0})",[:OCCURS_IN],"(:Event {eventId: 2969, predicate: 会见, name: 陈毅拜会瑞士联邦政治部长马克斯·彼蒂彼爱（日内瓦）, startDate: 1961-05-29 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 拉巴特市, nodeId: 2935.0})",[:OCCURS_IN],"(:Event {eventId: 2898, name: 陈毅和周恩来访问摩洛哥（拉巴特市）, eventType: 访问, startDate: 1963-12-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 盐城市, nodeId: 940.0})",[:OCCURS_IN],"(:Event {eventId: 1629, predicate: 参加, name: 陈毅主持新四军重建军部大会（盐城市）, eventType: 会议, startDate: 1941-01-25 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 巴黎, nodeId: 397.0})",[:OCCURS_IN],"(:Event {eventId: 412, predicate: 召开, name: 陈毅同周恩来等召开拒款大会（巴黎）, eventType: 会议, startDate: 1921-06-30 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 盐城市, nodeId: 940.0})",[:OCCURS_IN],"(:Event {eventId: 2528, predicate: 召开, name: 陈毅召开新四军军分会会议（盐城市）, eventType: 会议, startDate: 1942-03-25 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 邹城市, nodeId: 2555.0})",[:OCCURS_IN],"(:Event {eventId: 2556, predicate: 指挥, name: 陈毅和黎玉负责津浦前线指挥部（邹城市）, eventType: 战争, startDate: 1945-10-15 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3169, predicate: 会见, name: 周恩来和陈毅接见柬中友好协会代表团（北京市）, startDate: 1966-05-02 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 贾汪区, nodeId: 2634.0})",[:OCCURS_IN],"(:Event {eventId: 2636, predicate: 参加, name: 陈毅为华东野战军前委扩大会议作总结（贾汪区）, eventType: 会议, startDate: 1949-01-25 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2743, name: 陈毅被任命为中央军委副主席、常委（北京市）, eventType: 任职, startDate: 1959-09-26 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 瑞金市, nodeId: 692.0})",[:OCCURS_IN],"(:Event {eventId: 982, name: 陈毅任中华苏维埃中央政府办事处主任（瑞金市）, eventType: 任职, startDate: 1934-10-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 平壤市, nodeId: 2357.0})",[:OCCURS_IN],"(:Event {eventId: 3028, predicate: 参加, name: 陈毅出席《中朝边界条约》签字仪式（平壤市）, startDate: 1962-10-12 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2998, name: 陈毅宣布中国政府承认坦噶尼喀（北京市）, startDate: 1961-12-08 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3188, endDate: 1966-09-29 00:00:00, name: 陈毅和周恩来、陶铸等观看《红灯记》、《沙家浜》（北京市）, startDate: 1966-09-28 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2815, predicate: 参加, endDate: 1960-04-11 00:00:00, name: 陈毅出席政协全国委员会三届二次会议（北京市）, eventType: 会议, startDate: 1960-03-29 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 雅加达, nodeId: 2298.0})",[:OCCURS_IN],"(:Event {eventId: 3145, predicate: 会见, name: 苏加诺接见陈毅（雅加达）, startDate: 1965-08-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2458, predicate: 会见, name: 陈毅陪同毛泽东会见日本国会代表团（北京市）, startDate: 1955-10-15 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 日内瓦, nodeId: 1450.0})",[:OCCURS_IN],"(:Event {eventId: 3016, predicate: 迎接, name: 陈毅迎接苏联代表团（日内瓦）, eventType: 访问, startDate: 1962-07-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2696, name: 陈毅从上海到北京（北京市）, eventType: 移动, startDate: 1949-09-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3512, name: 陈毅发言（北京市）, eventType: 聚集, startDate: 1960-10-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2703, name: 陈毅被任命为人民革命军委员会委员（北京市）, eventType: 任职, startDate: 1949-10-19 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上海市, nodeId: 375.0})",[:OCCURS_IN],"(:Event {eventId: 3505, predicate: 参加, name: 陈毅参加华东军政委员会第一次会议（上海市）, eventType: 会议, startDate: 1950-01-29 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 仰光市, nodeId: 2296.0})",[:OCCURS_IN],"(:Event {eventId: 2463, name: 陈毅出席缅甸总统巴宇举行的国宴（仰光市）, startDate: 1955-04-15 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 仰光, nodeId: 2296.0})",[:OCCURS_IN],"(:Event {eventId: 2463, name: 陈毅出席缅甸总统巴宇举行的国宴（仰光市）, startDate: 1955-04-15 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2848, predicate: 参加, name: 陈毅出席《中国和几内亚友好条约》签字仪式（北京市）, startDate: 1960-09-13 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 雅加达市, nodeId: 2298.0})",[:OCCURS_IN],"(:Event {eventId: 2913, name: 陈毅率领中国代表团前往雅加达（雅加达市）, eventType: 移动, startDate: 1964-04-10 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 雅加达, nodeId: 2298.0})",[:OCCURS_IN],"(:Event {eventId: 2913, name: 陈毅率领中国代表团前往雅加达（雅加达市）, eventType: 移动, startDate: 1964-04-10 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2951, name: 陈毅参加周恩来与老挝首相梭发那・富马亲王的会谈（北京市）, startDate: 1961-04-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 拉萨市, nodeId: 1320.0})",[:OCCURS_IN],"(:Event {eventId: 2360, predicate: 授予, name: 陈毅将西藏自治区筹备委员会印鉴授予达赖喇嘛（拉萨市）, eventType: 会议, startDate: 1956-04-22 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 丹阳市, nodeId: 1029.0})",[:OCCURS_IN],"(:Event {eventId: 1753, name: 陈毅任上海市军管会主任（上海市）, eventType: 任职, startDate: 1949-05-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上海市, nodeId: 375.0})",[:OCCURS_IN],"(:Event {eventId: 1753, name: 陈毅任上海市军管会主任（上海市）, eventType: 任职, startDate: 1949-05-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2852, predicate: 迎接, name: 陈毅欢迎柬埔寨代表团访华（北京市）, eventType: 会合, startDate: 1960-12-15 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 杨家沟, nodeId: 2074.0})",[:OCCURS_IN],"(:Event {eventId: 2088, predicate: 参加, endDate: 1948-01-21 00:00:00, name: 陈毅参加中共中央负责人会议（杨家沟）, eventType: 会议, startDate: 1948-01-19 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 广州市, nodeId: 459.0})",[:OCCURS_IN],"(:Event {eventId: 3316, name: 陈毅拜访陈寅恪（广州市）, startDate: 1956-10-16 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2593, name: 陈毅被任命为国务院常务副总理（北京市）, eventType: 任职, startDate: 1954-09-29 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2594, predicate: 参加, name: 陈毅出席政协第二届全国委员会常务委员会第一次会议（北京市）, eventType: 会议, startDate: 1954-12-27 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 巴马科市, nodeId: 2938.0})",[:OCCURS_IN],"(:Event {eventId: 3150, name: 陈毅访问马里（巴马科市）, eventType: 访问, startDate: 1965-09-09 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 瑞金市, nodeId: 692.0})",[:OCCURS_IN],"(:Event {eventId: 1846, predicate: 参加, endDate: 1934-02-01 00:00:00, name: 陈毅出席中华苏维埃第二次全国代表大会（瑞金市）, eventType: 会议, startDate: 1934-01-22 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 黄桥镇, nodeId: 963.0})",[:OCCURS_IN],"(:Event {eventId: 2622, predicate: 指挥, name: 陈毅指挥新四军主动放弃黄桥（黄桥镇）, eventType: 战争, startDate: 1940-09-04 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 半城镇, nodeId: 1015.0})",[:OCCURS_IN],"(:Event {eventId: 2525, predicate: 汇报, name: 陈毅作《目前形势和今后工作方针》的报告（半城镇）, startDate: 1942-01-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 沙河铺, nodeId: 364.0})",[:OCCURS_IN],"(:Event {eventId: 363, name: 陈毅启程赴法（沙河铺）, eventType: 移动, startDate: 1919-06-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3373, name: 陈毅驳斥杜勒斯的声明（北京市）, startDate: 1958-09-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 万隆市, nodeId: 1781.0})",[:OCCURS_IN],"(:Event {eventId: 3369, predicate: 会见, name: 陈毅会见日本代表团团长高碕达之助（万隆市）, startDate: 1955-04-22 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 乌兰巴托市, nodeId: 2485.0})",[:OCCURS_IN],"(:Event {eventId: 2831, predicate: 参加, name: 陈毅出席《中国和蒙古友好互助条约》签字仪式（乌兰巴托市）, startDate: 1960-05-31 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2456, name: 陈毅在天安门城楼上观礼（北京市）, startDate: 1955-10-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2737, endDate: 1959-04-28 00:00:00, name: 陈毅被选举为国务院副总理兼外交部部长、国防委员会副主席（北京市）, eventType: 任职, startDate: 1959-04-18 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3310, predicate: 参加, name: 陈毅在罗马尼亚驻华使馆宴会上即兴讲话（北京市）, eventType: 聚集, startDate: 1958-08-23 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 喀布尔, nodeId: 2293.0})",[:OCCURS_IN],"(:Event {eventId: 3107, name: 陈毅访问阿富汗（喀布尔市）, eventType: 访问, startDate: 1965-03-22 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 喀布尔市, nodeId: 2293.0})",[:OCCURS_IN],"(:Event {eventId: 3107, name: 陈毅访问阿富汗（喀布尔市）, eventType: 访问, startDate: 1965-03-22 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 姜堰区, nodeId: 1304.0})",[:OCCURS_IN],"(:Event {eventId: 3332, name: 陈毅宣布李明扬、李长江部接替新四军进驻姜堰（姜堰区）, startDate: 1940-09-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 延安市, nodeId: 1119.0})",[:OCCURS_IN],"(:Event {eventId: 1019, name: 中共中央、中央军委任命陈毅兼山东军区司令员（延安市）, eventType: 任职, startDate: 1946-01-07 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 仰光市, nodeId: 2296.0})",[:OCCURS_IN],"(:Event {eventId: 2875, name: 陈毅陪同刘少奇到达缅甸访问（仰光市）, eventType: 访问, startDate: 1963-04-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 仰光, nodeId: 2296.0})",[:OCCURS_IN],"(:Event {eventId: 2875, name: 陈毅陪同刘少奇到达缅甸访问（仰光市）, eventType: 访问, startDate: 1963-04-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 拉瓦尔品第, nodeId: 2308.0})",[:OCCURS_IN],"(:Event {eventId: 2309, name: 陈毅和刘少奇与阿尤布会谈（拉瓦尔品第）, eventType: 会议, startDate: 1966-03-26 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2310, name: 叶剑英向陈毅传达毛泽东关于“二月逆流”的指示（北京市）, startDate: 1972-01-06 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2747, predicate: 创作, name: 陈毅作《十年大庆》诗二首（北京市）, startDate: 1959-10-01 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 盐城市, nodeId: 940.0})",[:OCCURS_IN],"(:Event {eventId: 2519, predicate: 参加, name: 陈毅出席盐城各界4000多人集会（盐城市）, eventType: 聚集, startDate: 1941-05-30 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 石家庄市, nodeId: 3221.0})",[:OCCURS_IN],"(:Event {eventId: 3204, name: 陈毅在铁道部石家庄车辆厂半天劳动半天学习（石家庄市）, startDate: 1969-10-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2888, predicate: 会见, name: 陈毅接见法国经济代表团（北京市）, eventType: 访问, startDate: 1963-09-28 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 德里市, nodeId: 2818.0})",[:OCCURS_IN],"(:Event {eventId: 2819, predicate: 会见, name: 陈毅随周恩来拜会印度总统拉金德拉·普拉沙德（德里市）, eventType: 访问, startDate: 1960-04-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3374, predicate: 会见, name: 周恩来、陈毅同富尔举行第三次会谈（北京市）, startDate: 1958-10-25 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2605, name: 陈毅与罗荣桓、邓子恢联名向中央提出《关于开发海南岛的意见》（北京市）, startDate: 1957-01-04 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2984, predicate: 迎接, name: 陈毅欢迎古巴总统奥斯瓦耳多·多尔蒂科斯·托拉多访华（北京市）, eventType: 访问, startDate: 1961-09-22 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 成都市, nodeId: 339.0})",[:OCCURS_IN],"(:Event {eventId: 362, predicate: 入学, name: 陈毅中选（成都市）, startDate: 1919-04-16 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 3049, predicate: 参加, name: 陈毅参加声讨苏修法西斯暴行大会（北京市）, eventType: 会议, startDate: 1967-02-11 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 上海市, nodeId: 375.0})",[:OCCURS_IN],"(:Event {eventId: 2779, predicate: 参加, name: 陈毅参加华东军政委员会第二次全体委员会议（上海市）, eventType: 会议, startDate: 1950-07-15 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 北京市, nodeId: 348.0})",[:OCCURS_IN],"(:Event {eventId: 2879, predicate: 汇报, name: 陈毅作关于刘少奇外交访问的报告（北京市）, startDate: 1963-05-25 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 丹阳市, nodeId: 1029.0})",[:OCCURS_IN],"(:Event {eventId: 2668, name: 陈毅与粟裕等联名发布《第三野战军淞沪战役攻击命令》（丹阳市）, startDate: 1949-05-21 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 龙岩市, nodeId: 731.0})",[:OCCURS_IN],"(:Event {eventId: 2286, predicate: 主持, name: 中共红四军第七次代表大会通过陈毅起草的《 红军第七次代表大会决议案》（龙岩市）, eventType: 会议, startDate: 1929-06-22 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
"(:Location {name: 盐城市, nodeId: 940.0})",[:OCCURS_IN],"(:Event {eventId: 2278, predicate: 会见, name: 陈毅接见罗生特（盐城市）, eventType: 聚集, startDate: 1941-03-20 00:00:00})",[:参与],"(:Person {name: 陈毅, nodeId: agent_person/7993})"
